DYS19	DYS389I	DYS389II	DYS390	DYS391	DYS392	DYS393	DYS437	DYS438	DYS439	n
13	13	29	22	10	15	13	14	11	12	1
13	13	30	25	10	14	13	15	12	12	1
13	11	27	23	11	14	13	15	12	12	1
13	14	32	24	10	11	13	14	10	12	1
13	13	30	24	10	11	13	14	10	12	2
14	13	30	23	11	13	14	15	12	13	1
14	13	30	24	11	13	13	15	12	11	1
14	13	27	23	10	13	13	15	12	12	1
14	13	29	23	10	13	13	15	12	12	1
14	13	29	24	10	13	13	15	12	12	4
14	13	29	24	11	13	13	15	12	11	3
14	13	30	23	11	13	13	14	12	12	1
14	14	29	23	12	13	13	15	12	11	1
14	14	30	22	10	13	13	15	12	12	1
14	13	30	25	11	13	13	15	12	12	1
14	12	28	22	10	11	13	16	10	13	1
14	12	28	24	11	13	13	15	12	12	1
14	12	28	24	11	14	13	15	12	12	1
14	13	28	23	11	13	13	15	12	11	2
14	13	28	24	12	13	13	15	12	13	1
14	13	29	23	10	13	13	15	12	13	1
14	13	29	23	11	13	13	15	11	12	1
14	13	29	23	11	13	13	15	12	12	2
14	13	29	24	10	14	12	15	12	13	1
14	13	29	24	11	12	13	15	12	12	1
14	13	29	24	11	13	13	15	12	12	5
14	13	29	24	11	13	13	15	12	13	2
14	13	29	24	12	13	13	15	13	12	1
14	13	30	24	11	13	12	15	12	12	1
14	13	30	24	11	13	13	15	12	12	1
14	13	30	24	12	13	13	15	13	11	1
14	14	30	23	11	13	13	15	12	12	2
14	14	30	24	11	13	13	15	12	11	2
14	14	30	24	11	13	13	15	12	12	1
14	14	30	26	11	13	13	15	12	12	1
14	12	28	23	10	13	13	15	12	12	1
14	12	28	24	11	13	13	14	12	12	1
14	12	28	25	11	13	13	15	12	12	1
14	13	29	23	11	13	12	15	12	12	1
14	13	29	23	11	13	13	14	12	12	2
14	13	29	23	11	13	13	15	12	11	1
14	13	29	24	10	13	13	15	12	13	1
14	13	29	24	10	14	13	15	12	12	1
14	13	30	24	12	13	13	15	12	12	1
14	12	28	22	10	11	13	16	10	12	5
14	12	27	23	10	11	13	16	10	11	1
14	12	28	22	10	11	13	16	10	11	9
14	13	29	24	10	15	13	15	12	12	1
14	13	29	25	11	12	13	15	12	12	1
14	13	32	25	11	13	13	15	12	13	1
14	13	32	26	11	13	13	15	12	12	1
14	13	29	23	11	14	13	15	12	12	1
14	12	28	21	11	11	14	16	10	11	1
14	12	28	22	10	11	14	16	10	11	2
14	12	28	22	10	11	14	16	10	12	1
14	12	28	22	9	11	14	16	10	11	1
14	12	28	22	10	11	12	16	10	11	1
14	12	28	22	10	11	13	16	10	10	1
14	12	28	22	10	11	15	16	10	11	1
14	12	28	23	10	11	13	15	10	11	3
14	12	28	23	10	11	13	16	10	11	8
14	12	28	23	10	11	15	16	10	11	1
14	12	29	22	10	11	13	16	11	11	1
14	12	28	22	10	10	13	16	10	11	1
14	13	29	22	10	11	13	16	10	11	2
14	14	30	22	10	11	13	16	10	11	2
14	13	29	23	10	11	12	15	9	11	1
14	11	27	22	10	11	12	16	10	12	1
14	12	27	24	10	13	13	15	12	12	1
14	12	28	23	10	11	12	16	10	11	1
14	12	28	23	10	11	14	16	10	13	1
14	12	28	24	10	11	13	16	10	11	1
14	12	29	23	10	11	13	16	10	11	1
14	12	29	23	10	11	13	16	10	12	1
14	12	28	23	10	11	13	16	10	12	2
14	12	29	23	10	11	13	16	10	10	1
14	14	31	23	10	12	14	14	10	11	1
14	14	32	24	10	11	13	14	10	13	1
15	13	29	25	10	11	14	14	11	12	1
15	14	30	23	11	14	14	14	10	10	1
15	12	28	24	11	13	13	16	12	11	1
15	13	29	23	10	13	13	15	13	12	1
15	13	29	24	10	11	13	15	11	11	1
15	13	29	24	10	13	13	15	12	12	1
15	13	29	24	11	13	13	14	12	11	1
15	13	29	24	11	13	13	15	12	12	1
15	13	29	24	11	14	13	15	12	11	1
15	13	29	24	11	16	14	15	12	12	1
15	13	29	25	10	13	12	15	12	11	1
15	13	29	25	11	11	13	14	11	11	1
15	13	30	24	10	11	13	14	11	10	1
15	13	30	25	10	11	13	14	11	10	1
15	13	30	25	11	11	15	14	11	10	1
15	13	30	25	12	11	13	14	11	10	1
15	13	31	25	11	11	13	14	11	10	3
15	14	31	26	10	11	13	14	11	10	1
15	14	32	26	10	11	13	14	11	10	1
15	14	34	24	10	11	13	15	10	13	1
15	13	29	23	11	13	13	15	12	12	1
15	13	31	25	10	11	13	14	11	11	1
15	13	29	26	10	13	13	15	12	12	1
15	14	31	26	11	11	13	14	11	10	1
15	13	29	25	11	12	13	14	12	10	1
15	13	29	22	10	11	14	16	10	11	1
15	12	28	22	10	11	12	16	10	11	2
